Dates,Information Technology,Healthcare,Energy,Consumer Discretionary,Financials,Communcation Services,Consumer Staples,Materials,Utilities,S&P500,Industrials
11/13/1990,61.18,78.19,90.52,57.8518,54.66,83.74,66.06,61.47,95.34,317.67,64.3
11/14/1990,62.03,78.78,90.32,58.8331,55.35,84.29,66.85,62.41,95.01,320.4,64.82
11/15/1990,61.12,78.3,89.29,57.9245,54.65,83.21,66.1,62,94.31,317.02,64.4
11/16/1990,61.66,78.31,89.68,57.9085,54.66,81.84,66.13,62.3,94.63,317.12,64.44
11/19/1990,62.23,78.74,89.81,58.5922,54.71,82,66.98,63.14,94.79,319.34,64.95
11/20/1990,61.31,77.97,89.23,57.8934,53.37,81.22,66.42,62.43,94.13,315.31,63.41
11/21/1990,61.6,78.24,89.54,57.7876,52.75,81.88,66.57,62.35,95.02,316.03,63.71
11/22/1990,61.6,78.24,89.54,57.7876,52.75,81.88,66.57,62.35,95.02,316.03,63.71
11/23/1990,61.08,78.26,89.66,57.5566,52.48,81.4,66.43,62.29,94.63,315.1,63.43
11/26/1990,61.52,78.86,90.65,57.9505,53.58,81.25,66.5,62.42,94.87,316.51,63
11/27/1990,62.08,79.44,91.1,58.2846,54.32,81.52,66.72,62.78,94.7,318.1,63.1
11/28/1990,61.91,79.38,91,58.4199,54.24,81.53,66.66,62.69,94.88,317.95,63.02
11/29/1990,61.86,79.44,90.67,58.1152,53.64,81.15,66.03,62.26,94.49,316.42,62.82
11/30/1990,62.4,81.41,91.61,58.999,54.71,82.53,67.4,63.8,96.33,322.22,64.27
12/3/1990,64.02,81.81,90.78,59.9466,55.39,81.72,67.92,63.95,96.53,324.1,65
12/4/1990,64.83,82.24,90.54,60.2261,56.82,82.16,68.47,64.19,97.34,326.35,65.53
12/5/1990,65.81,82.5,90.01,61.0427,59.45,82.34,69.2,65.17,97.31,329.92,66.78
12/6/1990,64.92,82.46,88.63,61.2958,58.59,82.16,69.29,65.56,96.87,329.07,67.2
12/7/1990,65.05,82.47,88.52,60.617,57.4,82.39,69.22,65.28,96.15,327.75,67.02
12/10/1990,65.25,82.71,88.77,60.8382,57.7,82.94,69.38,66,96.22,328.89,67.03
12/11/1990,64.23,82.48,88.01,60.216,57.15,82.28,69.14,65.39,95.6,326.44,66.65
12/12/1990,65.33,83.76,87.62,61.1114,57.98,83.68,70.37,66.04,96.38,330.19,67.22
12/13/1990,64.59,83.15,88.16,60.7476,57.64,83.85,70.17,66.38,95.89,329.34,66.97
12/14/1990,63.63,82.13,88.82,59.892,56.83,83.22,69.38,66.25,95.72,326.82,66.47
12/17/1990,63.7,81.79,89.3,59.7422,56.14,83.01,69.21,66.05,95.59,326.02,66.12
12/18/1990,64.72,82.4,89.31,60.9332,57.79,84.21,70.07,66.6,96.75,330.05,66.83
12/19/1990,64.8,82.2,88.82,61.0412,58.33,84.02,69.79,66.92,96.81,330.2,67.23
12/20/1990,65.29,82.02,88.66,60.8422,58.73,83.21,69.86,66.92,96.2,330.12,67.61
12/21/1990,65.82,82.33,88.71,61.4067,58.71,83.85,70.02,67.04,97.11,331.75,68.15
12/24/1990,65.49,82.12,88.99,60.856,58.35,82.8,69.46,66.66,96.64,329.9,67.73
12/25/1990,65.49,82.12,88.99,60.856,58.35,82.8,69.46,66.66,96.64,329.9,67.73
12/26/1990,65.41,82.49,90.08,60.8019,58.56,82.81,69.66,66.89,96.9,330.85,67.67
12/27/1990,65.01,82.08,89.55,60.1658,57.59,82.1,69.24,66.36,96.63,328.29,67.11
12/28/1990,65.02,81.92,89.82,60.2835,57.35,81.97,69.5,66.74,96.46,328.72,67.33
12/31/1990,65.01,82.82,90.34,60.5674,57.56,82.24,70.06,67.2,96.17,330.22,67.38
1/1/1991,65.01,82.82,90.34,60.5674,57.56,82.24,70.06,67.2,96.17,330.22,67.38
1/2/1991,64.82,81.66,89.33,60.2507,56.73,81.32,68.72,66.3,95.3,326.45,66.7
1/3/1991,64.55,79.37,88.13,59.6856,56.1,80.48,67.15,65.28,94.93,321.91,65.97
1/4/1991,64.4,78.44,87.73,59.5741,56.21,80.18,66.99,65.38,94.91,321,65.86
1/7/1991,63.47,76.62,87.13,58.226,54.89,78.47,65.71,64.53,93.95,315.44,64.72
1/8/1991,62.91,76.91,87.21,57.9902,54.3,78.4,65.8,64.39,94.32,314.9,64.47
1/9/1991,62.13,76.22,86.17,57.3905,53.91,77.49,65.01,63.26,93.48,311.49,63.91
1/10/1991,62.89,77.17,86.25,58.1288,54.46,78.39,65.74,64.18,93.93,314.53,64.53
1/11/1991,62.77,77.52,85.67,58.4427,54.57,78.63,66.09,64.56,93.78,315.23,64.82
1/14/1991,61.93,76.83,86.11,57.5704,53.99,77.48,65.38,64.01,92.6,312.49,64.47
1/15/1991,62.53,77.51,86.32,57.998,53.96,77.47,65.65,63.91,92.53,313.73,64.84
1/16/1991,64.37,79.13,86.01,59.001,54.17,77.29,66.08,63.89,92.09,316.17,65.47
1/17/1991,67.1,81.37,86.87,61.8494,56.3,81.02,69.18,66.46,94.27,327.97,68.43
1/18/1991,68.4,81.85,87.56,62.7924,57.5,82.39,69.98,67.51,95.26,332.23,69.24
1/21/1991,69.11,82.07,86.08,62.2334,57.82,82.28,69.57,67.18,94.99,331.06,69.2
1/22/1991,68.2,81.62,86.51,61.3681,57.88,79.53,69.28,66.59,94.41,328.31,68.58
1/23/1991,68.61,82.83,88.17,62.0256,58.27,77.42,69.72,66.82,94.5,330.21,68.84
1/24/1991,69.73,84.39,88.6,62.8318,59.31,78.23,70.65,68.09,94.95,334.78,70.21
1/25/1991,70.12,84.28,88.84,63.04,59.86,79.08,70.65,68.49,94.57,336.07,70.72
1/28/1991,71.02,84.14,88.51,63.1704,59.51,79.42,70.26,68.39,94.46,336.03,70.95
1/29/1991,71.5,83.98,87.67,63.3843,59.55,79.48,70.05,68.43,94.18,335.84,71.13
1/30/1991,73.1,85.56,87.8,65.1268,60.69,79.96,70.92,69.84,93.94,340.91,72.57
1/31/1991,73.43,85.7,88.08,65.9162,61.65,81.24,71.48,70.58,94.09,343.93,73.54
2/1/1991,73.34,85.13,87.39,66.2578,62.32,80.45,71.1,69.96,93.59,343.05,73.63
2/4/1991,74.03,86.42,87.87,67.5842,65.34,81.2,72.12,70.51,93.98,348.34,74.91
2/5/1991,74.87,87.65,87.84,67.9413,66.36,81.49,73.05,71.23,94.35,351.26,75.57
2/6/1991,75.95,88.79,91.7,68.8573,67.32,83.21,74.63,72.73,95.44,358.07,76.53
2/7/1991,75.18,87.73,92.69,68.7056,66.78,83.58,74.04,72.08,96.41,356.52,75.44
