Dates,Financials,Consumer Staples,Energy,Industrials,Healthcare,Consumer Discretionary,Utilities,Information Technology,Materials,S&P500,Communication Services
7/14/2000,100,3300,400,400,11000,3200,48000,48000,100,158800,5700
7/17/2000,100,1800,400,400,18800,1600,27200,27200,100,430100,2200
7/18/2000,100,1800,400,400,2000,1600,16400,16400,100,763600,600
7/19/2000,100,300,200,200,7400,4000,26000,26000,100,120000,2500
7/20/2000,100,300,200,200,15900,4000,167200,167200,100,96500,1600
7/21/2000,100,6600,200,200,22900,4000,17200,17200,100,601300,2600
7/24/2000,100,156900,200,200,2200,4000,4000,4000,100,251700,300
7/25/2000,100,600,200,200,3200,4000,2400,2400,100,116700,700
7/26/2000,100,15300,200,200,3100,400,5200,5200,100,474800,700
7/27/2000,100,10500,200,200,3500,400,10000,10000,100,94200,10700
7/28/2000,100,900,1000,1000,3000,2000,51200,51200,800,1147800,2200
7/31/2000,100,7200,1000,1000,7000,2000,88800,88800,900,332900,1300
8/1/2000,100,7200,2000,2000,36700,2000,24000,24000,900,481700,200
8/2/2000,100,3600,2600,2600,17400,2000,2800,2800,200,505900,700
8/3/2000,200,4500,1600,1600,3500,2000,10400,10400,200,173500,1400
8/4/2000,200,6900,1600,1600,2400,2000,28800,28800,200,132900,600
8/7/2000,200,3000,1600,1600,600,2000,8800,8800,200,6500,1900
8/8/2000,200,1200,1600,1600,5600,400,6400,6400,100,175400,1900
8/9/2000,500,21600,1600,1600,103800,400,12400,12400,100,123100,2600
8/10/2000,2000,10200,1600,1600,5400,400,6800,6800,100,118000,2800
8/11/2000,200,6600,1600,1600,4400,400,69200,69200,100,129400,2000
8/14/2000,1200,8700,1600,1600,4700,400,39600,39600,100,70100,2300
8/15/2000,1200,15300,1600,1600,9600,400,6000,6000,100,343600,1100
8/16/2000,2100,12300,1800,1800,7000,3600,8000,8000,100,155000,1200
8/17/2000,2100,11100,1800,1800,5400,400,10400,10400,100,96900,1300
8/18/2000,2100,325200,50000,50000,30300,400,7600,7600,100,269000,1700
8/21/2000,2100,4200,400,400,3100,400,12000,12000,600,43000,1700
8/22/2000,200,3600,400,400,4500,400,6800,6800,200,380100,3600
8/23/2000,1000,14100,800,800,6700,800,8800,8800,100,239100,24200
8/24/2000,600,12900,800,800,10000,1600,26000,26000,100,53100,19800
8/25/2000,100,7200,800,800,13900,1600,10000,10000,100,136000,6100
8/28/2000,500,20400,5400,5400,5500,2000,26000,26000,100,354000,8200
8/29/2000,300,10800,5400,5400,7700,2000,8000,8000,100,66900,5300
8/30/2000,1100,11700,5400,5400,6400,400,15200,15200,100,260100,4700
8/31/2000,200,1800,200,200,5500,1200,7200,7200,100,843400,9200
9/1/2000,200,39900,8400,8400,3900,1200,27600,27600,200,278000,6900
9/4/2000,200,39900,8400,8400,3900,1200,27600,27600,200,278000,6900
9/5/2000,1700,11100,200,200,17200,400,18800,18800,2300,140700,7400
9/6/2000,200,5700,200,200,9800,400,3600,3600,100,153200,7300
