Start Date,End Date,Event Name
2001/3/1,2001/11/1,Early 2000s Recession
2007/12/1,2009/6/1,Great Recession
2020/2/1,2020/4/1,COVID-19 Recession
1999/11/7,2000/3/10,Dot-com Bubble
2002/7/1,2002/10/1,Stock Market Downturn of 2002
2008/9/1,2008/10/1,Global Financial Crisis
2011/8/1,2011/10/1,2011 United States Debt Ceiling Crisis
2015/8/1,2015/8/1,2015-16 Stock Market Selloff
2018/12/1,2019/1/1,2018 Stock Market Fall
2001/9/11,2001/9/11,September 11 Attacks
2005/8/23,2005/8/31,Hurricane Katrina
2010/4/20,2010/9/19,Deepwater Horizon Oil Spill
2016/6/23,2016/6/23,Brexit Referendum
2019/12/1,2020/3/1,U.S.-China Trade War
2022/2/24,2023/4/30,Russia-Ukraine Conflict
